bug: apr_signal_description_get in ap_process_child_status, pair: (apr_proc_wait, apr_signal_description_get), support: 3, confidence: 75.00%
bug: ap_process_request_internal in op_file_subr, pair: (ap_die_r, ap_process_request_internal), support: 8, confidence: 80.00%
bug: ap_process_request_internal in ap_sub_req_lookup_uri, pair: (ap_die_r, ap_process_request_internal), support: 8, confidence: 80.00%
bug: ap_run_insert_filter in ap_invoke_handler, pair: (ap_die_r, ap_run_insert_filter), support: 4, confidence: 66.67%
bug: ap_run_insert_filter in ap_run_sub_req, pair: (ap_die_r, ap_run_insert_filter), support: 4, confidence: 66.67%
bug: ap_parse_uri in op_file_subr, pair: (ap_die_r, ap_parse_uri), support: 4, confidence: 66.67%
bug: ap_parse_uri in ap_sub_req_lookup_uri, pair: (ap_die_r, ap_parse_uri), support: 4, confidence: 66.67%
bug: ap_scan_vchar_obstext in check_headers_table, pair: (ap_die_r, ap_scan_vchar_obstext), support: 3, confidence: 75.00%
bug: ap_die_r in ap_http_header_filter, pair: (ap_die_r, ap_send_error_response), support: 7, confidence: 70.00%
bug: ap_die_r in ap_read_request, pair: (ap_die_r, ap_send_error_response), support: 7, confidence: 70.00%
bug: ap_die_r in ap_process_request, pair: (ap_die_r, ap_send_error_response), support: 7, confidence: 70.00%
bug: ap_die_r in ap_process_http_connection, pair: (ap_die_r, apr_table_setn), support: 8, confidence: 80.00%
bug: ap_die_r in ap_process_request, pair: (ap_die_r, apr_table_setn), support: 8, confidence: 80.00%
bug: ap_die_r in ap_process_async_request, pair: (ap_die_r, apr_pstrcat), support: 7, confidence: 70.00%
bug: ap_die_r in ap_die, pair: (ap_die_r, apr_pstrcat), support: 7, confidence: 70.00%
bug: ap_die_r in ap_process_request, pair: (ap_die_r, apr_pstrcat), support: 7, confidence: 70.00%
bug: apr_os_sock_get in signal_threads, pair: (apr_os_sock_get, log_error_core), support: 7, confidence: 77.78%
bug: apr_os_sock_get in ap_listen_pre_config, pair: (apr_os_sock_get, log_error_core), support: 7, confidence: 77.78%
bug: apr_bucket_transient_create in buffer_output, pair: (ap_add_output_filter, apr_bucket_transient_create), support: 6, confidence: 75.00%
bug: apr_bucket_transient_create in ap_http_chunk_filter, pair: (ap_add_output_filter, apr_bucket_transient_create), support: 6, confidence: 75.00%
bug: apr_bucket_transient_create in ap_http_chunk_filter, pair: (ap_pass_brigade, apr_bucket_transient_create), support: 7, confidence: 87.50%
bug: apr_bucket_transient_create in ap_http_chunk_filter, pair: (apr_brigade_create, apr_bucket_transient_create), support: 7, confidence: 87.50%
bug: apr_bucket_transient_create in ap_http_chunk_filter, pair: (apr_brigade_write, apr_bucket_transient_create), support: 7, confidence: 87.50%
bug: apr_brigade_write in ap_http_header_filter, pair: (apr_brigade_write, apr_bucket_transient_create), support: 7, confidence: 70.00%
bug: apr_brigade_write in ap_send_interim_response, pair: (apr_brigade_write, apr_bucket_transient_create), support: 7, confidence: 70.00%
bug: apr_brigade_write in core_upgrade_handler, pair: (apr_brigade_write, apr_bucket_transient_create), support: 7, confidence: 70.00%
bug: log_backtrace in internal_internal_redirect, pair: (apr_pstrmemdup, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (ap_create_request_config, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (log_backtrace, strchr), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (ap_location_walk, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (ap_satisfies, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (ap_if_walk_sub, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (decl_die, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (ap_copy_method_list, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (ap_unescape_url, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (ap_unescape_url_keep2f, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (ap_add_output_filter_handle, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (ap_no2slash, log_backtrace), support: 3, confidence: 75.00%
bug: apr_uri_parse_hostinfo in ap_parse_uri, pair: (apr_uri_parse_hostinfo, log_backtrace), support: 4, confidence: 66.67%
bug: apr_uri_parse_hostinfo in ap_read_request, pair: (apr_uri_parse_hostinfo, log_backtrace), support: 4, confidence: 66.67%
bug: log_backtrace in internal_internal_redirect, pair: (ap_set_sub_req_protocol, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (ap_run_header_parser, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (apr_pool_tag, log_backtrace), support: 3, confidence: 75.00%
bug: apr_uri_parse in ap_parse_uri, pair: (apr_uri_parse, log_backtrace), support: 4, confidence: 66.67%
bug: apr_uri_parse in ap_read_request, pair: (apr_uri_parse, log_backtrace), support: 4, confidence: 66.67%
bug: log_backtrace in internal_internal_redirect, pair: (apr_pool_create_ex, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (ap_getparents, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (ap_make_method_list, log_backtrace), support: 3, confidence: 75.00%
bug: log_backtrace in internal_internal_redirect, pair: (log_backtrace, strrchr), support: 3, confidence: 75.00%
bug: apr_hash_this in ap_method_name_of, pair: (apr_array_push, apr_hash_this), support: 6, confidence: 66.67%
bug: apr_hash_this in core_dump_config, pair: (apr_array_push, apr_hash_this), support: 6, confidence: 66.67%
bug: apr_hash_this in ap_dump_mutexes, pair: (apr_array_push, apr_hash_this), support: 6, confidence: 66.67%
bug: ap_regcomp in ap_expr_yyparse, pair: (ap_regcomp, apr_array_push), support: 3, confidence: 75.00%
bug: apr_fnmatch_test in server_hostname_port, pair: (apr_array_push, apr_fnmatch_test), support: 5, confidence: 71.43%
bug: apr_fnmatch_test in include_config, pair: (apr_array_push, apr_fnmatch_test), support: 5, confidence: 71.43%
bug: apr_hash_first in ap_method_name_of, pair: (apr_array_push, apr_hash_first), support: 6, confidence: 66.67%
bug: apr_hash_first in core_dump_config, pair: (apr_array_push, apr_hash_first), support: 6, confidence: 66.67%
bug: apr_hash_first in ap_dump_mutexes, pair: (apr_array_push, apr_hash_first), support: 6, confidence: 66.67%
bug: apr_hash_next in ap_method_name_of, pair: (apr_array_push, apr_hash_next), support: 6, confidence: 66.67%
bug: apr_hash_next in core_dump_config, pair: (apr_array_push, apr_hash_next), support: 6, confidence: 66.67%
bug: apr_hash_next in ap_dump_mutexes, pair: (apr_array_push, apr_hash_next), support: 6, confidence: 66.67%
bug: ap_dir_nofnmatch in include_config, pair: (ap_dir_nofnmatch, apr_array_push), support: 3, confidence: 75.00%
bug: apr_fnmatch in op_strmatch, pair: (apr_array_push, apr_fnmatch), support: 7, confidence: 70.00%
bug: apr_fnmatch in op_strcmatch, pair: (apr_array_push, apr_fnmatch), support: 7, confidence: 70.00%
bug: apr_fnmatch in op_fnmatch, pair: (apr_array_push, apr_fnmatch), support: 7, confidence: 70.00%
bug: ap_get_request_note in prep_walk_cache, pair: (ap_get_request_note, apr_array_push), support: 4, confidence: 80.00%
bug: apr_array_pstrcat in core_upgrade_storage, pair: (apr_array_pstrcat, apr_array_push), support: 7, confidence: 87.50%
bug: apr_array_push in ap_copy_method_list, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_push in load_module, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_push in ap_add_per_url_conf, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_push in ap_regname, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_push in set_protocols, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_push in ap_process_request_internal, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_push in ap_allow_methods, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_push in ap_add_per_dir_conf, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_push in uniq_field_values, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_push in set_server_alias, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_push in ap_method_list_add, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_push in core_map_to_storage, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_push in ap_if_walk, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_push in set_define, pair: (apr_array_make, apr_array_push), support: 98, confidence: 87.50%
bug: apr_array_make in create_core_server_config, pair: (apr_array_make, apr_array_push), support: 98, confidence: 92.45%
bug: apr_array_make in so_sconf_create, pair: (apr_array_make, apr_array_push), support: 98, confidence: 92.45%
bug: apr_array_make in ap_read_request, pair: (apr_array_make, apr_array_push), support: 98, confidence: 92.45%
bug: apr_array_make in internal_internal_redirect, pair: (apr_array_make, apr_array_push), support: 98, confidence: 92.45%
bug: apr_array_make in ap_init_virtual_host, pair: (apr_array_make, apr_array_push), support: 98, confidence: 92.45%
bug: apr_array_make in ap_make_method_list, pair: (apr_array_make, apr_array_push), support: 98, confidence: 92.45%
bug: apr_array_make in prep_walk_cache, pair: (apr_array_make, apr_array_push), support: 98, confidence: 92.45%
bug: apr_array_make in virtualhost_section, pair: (apr_array_make, apr_array_push), support: 98, confidence: 92.45%
bug: apr_bucket_pool_create in ap_parse_form_data, pair: (apr_bucket_pool_create, apr_strtoff), support: 3, confidence: 75.00%
bug: apr_bucket_pool_create in ap_send_http_trace, pair: (apr_bucket_pool_create, strncasecmp), support: 3, confidence: 75.00%
bug: apr_bucket_pool_create in ap_send_http_trace, pair: (apr_brigade_cleanup, apr_bucket_pool_create), support: 3, confidence: 75.00%
bug: apr_bucket_pool_create in ap_byterange_filter, pair: (ap_get_brigade, apr_bucket_pool_create), support: 3, confidence: 75.00%
bug: apr_bucket_pool_create in ap_parse_form_data, pair: (apr_bucket_pool_create, apr_table_setn), support: 3, confidence: 75.00%
bug: ap_bin2hex in sha1_func, pair: (ap_bin2hex, apr_pstrndup), support: 3, confidence: 75.00%
bug: ap_bin2hex in sha1_func, pair: (ap_bin2hex, apr_md5_final), support: 3, confidence: 75.00%
bug: ap_bin2hex in sha1_func, pair: (ap_bin2hex, apr_md5_init), support: 3, confidence: 75.00%
bug: ap_bin2hex in sha1_func, pair: (ap_bin2hex, apr_md5_update), support: 3, confidence: 75.00%
bug: apr_hash_this in ap_method_name_of, pair: (apr_array_make, apr_hash_this), support: 6, confidence: 66.67%
bug: apr_hash_this in core_dump_config, pair: (apr_array_make, apr_hash_this), support: 6, confidence: 66.67%
bug: apr_hash_this in ap_dump_mutexes, pair: (apr_array_make, apr_hash_this), support: 6, confidence: 66.67%
bug: apr_parse_addr_port in ap_init_virtual_host, pair: (apr_parse_addr_port, log_error_core), support: 4, confidence: 80.00%
bug: apr_parse_addr_port in fix_hostname, pair: (apr_parse_addr_port, strcasecmp), support: 4, confidence: 80.00%
bug: apr_filepath_name_get in main, pair: (ap_meets_conditions, apr_filepath_name_get), support: 7, confidence: 77.78%
bug: apr_filepath_name_get in ap_scan_script_header_err_core_ex, pair: (ap_meets_conditions, apr_filepath_name_get), support: 7, confidence: 77.78%
bug: apr_table_add in ap_scan_script_header_err_core_ex, pair: (ap_meets_conditions, apr_table_add), support: 7, confidence: 87.50%
bug: ap_update_mtime in default_handler, pair: (ap_meets_conditions, ap_update_mtime), support: 7, confidence: 77.78%
bug: ap_update_mtime in ap_scan_script_header_err_core_ex, pair: (ap_meets_conditions, ap_update_mtime), support: 7, confidence: 77.78%
bug: apr_table_set in ap_scan_script_header_err_core_ex, pair: (ap_meets_conditions, apr_table_set), support: 7, confidence: 77.78%
bug: apr_table_set in ap_args_to_table, pair: (ap_meets_conditions, apr_table_set), support: 7, confidence: 77.78%
bug: apr_hash_set in ap_limit_section, pair: (apr_hash_make, apr_hash_set), support: 14, confidence: 77.78%
bug: apr_hash_set in ap_register_log_hooks, pair: (apr_hash_make, apr_hash_set), support: 14, confidence: 77.78%
bug: apr_hash_set in set_http_method, pair: (apr_hash_make, apr_hash_set), support: 14, confidence: 77.78%
bug: apr_hash_set in ap_register_errorlog_handler, pair: (apr_hash_make, apr_hash_set), support: 14, confidence: 77.78%
bug: apr_hash_make in main, pair: (apr_hash_make, apr_hash_set), support: 14, confidence: 77.78%
bug: apr_hash_make in register_hooks, pair: (apr_hash_make, apr_hash_set), support: 14, confidence: 77.78%
bug: apr_hash_make in ap_read_config, pair: (apr_hash_make, apr_hash_set), support: 14, confidence: 77.78%
bug: apr_hash_make in ap_setup_prelinked_modules, pair: (apr_hash_make, apr_hash_set), support: 14, confidence: 77.78%
bug: ap_abort_on_oom in start_threads, pair: (ap_abort_on_oom, apr_pool_cleanup_register), support: 8, confidence: 72.73%
bug: ap_abort_on_oom in ap_init_scoreboard, pair: (ap_abort_on_oom, apr_pool_cleanup_register), support: 8, confidence: 72.73%
bug: ap_abort_on_oom in ap_register_extra_mpm_process, pair: (ap_abort_on_oom, apr_pool_cleanup_register), support: 8, confidence: 72.73%
bug: apr_allocator_create in listener_thread, pair: (apr_allocator_create, apr_pool_cleanup_register), support: 5, confidence: 83.33%
bug: ap_set_config_vectors in ifsection, pair: (ap_set_config_vectors, apr_pool_cleanup_register), support: 3, confidence: 75.00%
bug: apr_pool_pre_cleanup_register in ap_unixd_mpm_get_retained_data, pair: (apr_pool_cleanup_register, apr_pool_pre_cleanup_register), support: 6, confidence: 66.67%
bug: apr_pool_pre_cleanup_register in ap_bucket_eor_create, pair: (apr_pool_cleanup_register, apr_pool_pre_cleanup_register), support: 6, confidence: 66.67%
bug: apr_pool_pre_cleanup_register in ap_process_request_after_handler, pair: (apr_pool_cleanup_register, apr_pool_pre_cleanup_register), support: 6, confidence: 66.67%
bug: pcre_fullinfo in ap_regcomp, pair: (apr_pool_cleanup_register, pcre_fullinfo), support: 5, confidence: 71.43%
bug: pcre_fullinfo in ap_regname, pair: (apr_pool_cleanup_register, pcre_fullinfo), support: 5, confidence: 71.43%
bug: apr_hash_make in set_error_document, pair: (apr_hash_make, apr_pool_cleanup_register), support: 14, confidence: 77.78%
bug: apr_hash_make in register_hooks, pair: (apr_hash_make, apr_pool_cleanup_register), support: 14, confidence: 77.78%
bug: apr_hash_make in set_cgi_var, pair: (apr_hash_make, apr_pool_cleanup_register), support: 14, confidence: 77.78%
bug: apr_hash_make in event_post_config, pair: (apr_hash_make, apr_pool_cleanup_register), support: 14, confidence: 77.78%
bug: apr_pool_userdata_set in ap_unixd_mpm_get_retained_data, pair: (apr_pool_cleanup_register, apr_pool_userdata_set), support: 4, confidence: 66.67%
bug: apr_pool_userdata_set in ap_retained_data_create, pair: (apr_pool_cleanup_register, apr_pool_userdata_set), support: 4, confidence: 66.67%
bug: ap_varbuf_free in start_cond_section, pair: (ap_varbuf_free, apr_psprintf), support: 4, confidence: 80.00%
bug: ap_varbuf_free in ap_soak_end_container, pair: (ap_build_config_sub, ap_varbuf_free), support: 4, confidence: 80.00%
bug: ap_varbuf_free in ap_process_resource_config, pair: (ap_varbuf_free, apr_pstrcat), support: 4, confidence: 80.00%
bug: ap_expr_yyensure_buffer_stack in ap_expr_yyparse, pair: (ap_expr_yyensure_buffer_stack, exit), support: 3, confidence: 75.00%
bug: ap_get_protocol in core_upgrade_storage, pair: (ap_get_protocol, apr_cpystrn), support: 6, confidence: 75.00%
bug: ap_get_protocol in core_upgrade_handler, pair: (ap_get_protocol, apr_cpystrn), support: 6, confidence: 75.00%
bug: apr_os_thread_current in worker_thread, pair: (apr_cpystrn, apr_os_thread_current), support: 7, confidence: 77.78%
bug: apr_os_thread_current in log_tid, pair: (apr_cpystrn, apr_os_thread_current), support: 7, confidence: 77.78%
bug: ap_get_remote_host in ap_add_common_vars, pair: (ap_get_remote_host, apr_cpystrn), support: 6, confidence: 75.00%
bug: ap_get_remote_host in request_var_fn, pair: (ap_get_remote_host, apr_cpystrn), support: 6, confidence: 75.00%
bug: apr_file_flush in ap_open_logs, pair: (apr_cpystrn, apr_file_flush), support: 7, confidence: 70.00%
bug: apr_file_flush in ap_replace_stderr_log, pair: (apr_cpystrn, apr_file_flush), support: 7, confidence: 70.00%
bug: apr_file_flush in main, pair: (apr_cpystrn, apr_file_flush), support: 7, confidence: 70.00%
bug: ap_set_config_vectors in ifsection, pair: (ap_abort_on_oom, ap_set_config_vectors), support: 3, confidence: 75.00%
bug: calloc in ap_calloc, pair: (ap_abort_on_oom, calloc), support: 4, confidence: 80.00%
bug: apr_proc_wait in ap_relieve_child_processes, pair: (apr_proc_wait, kill), support: 3, confidence: 75.00%
bug: apr_proc_wait in reclaim_one_pid, pair: (ap_mpm_query, apr_proc_wait), support: 3, confidence: 75.00%
bug: apr_proc_wait in reclaim_one_pid, pair: (apr_proc_wait, free), support: 3, confidence: 75.00%
bug: apr_proc_wait in reclaim_one_pid, pair: (ap_get_scoreboard_process, apr_proc_wait), support: 3, confidence: 75.00%
bug: ap_get_protocol in core_upgrade_storage, pair: (ap_get_protocol, ap_get_remote_host), support: 6, confidence: 75.00%
bug: ap_get_protocol in core_upgrade_handler, pair: (ap_get_protocol, ap_get_remote_host), support: 6, confidence: 75.00%
bug: ap_get_remote_host in ap_add_common_vars, pair: (ap_get_protocol, ap_get_remote_host), support: 6, confidence: 75.00%
bug: ap_get_remote_host in request_var_fn, pair: (ap_get_protocol, ap_get_remote_host), support: 6, confidence: 75.00%
bug: ap_get_protocol in core_upgrade_storage, pair: (ap_get_protocol, ap_mpm_query), support: 6, confidence: 75.00%
bug: ap_get_protocol in core_upgrade_handler, pair: (ap_get_protocol, ap_mpm_query), support: 6, confidence: 75.00%
bug: ap_get_protocol in core_upgrade_storage, pair: (ap_get_protocol, apr_time_now), support: 6, confidence: 75.00%
bug: ap_get_protocol in core_upgrade_handler, pair: (ap_get_protocol, apr_time_now), support: 6, confidence: 75.00%
bug: ap_get_protocol in core_upgrade_storage, pair: (ap_get_protocol, apr_snprintf), support: 6, confidence: 75.00%
bug: ap_get_protocol in core_upgrade_handler, pair: (ap_get_protocol, apr_snprintf), support: 6, confidence: 75.00%
bug: ap_get_protocol in core_upgrade_storage, pair: (ap_get_protocol, apr_pstrcat), support: 7, confidence: 87.50%
bug: setsockopt in signal_threads, pair: (log_error_core, setsockopt), support: 7, confidence: 77.78%
bug: setsockopt in ap_listen_pre_config, pair: (log_error_core, setsockopt), support: 7, confidence: 77.78%
bug: apr_allocator_create in ap_varbuf_grow, pair: (ap_log_assert, apr_allocator_create), support: 4, confidence: 66.67%
bug: apr_allocator_create in listener_thread, pair: (ap_log_assert, apr_allocator_create), support: 4, confidence: 66.67%
bug: apr_pool_abort_get in ap_varbuf_grow, pair: (ap_log_assert, apr_pool_abort_get), support: 4, confidence: 80.00%
bug: apr_off_t_toa in ap_set_content_length, pair: (apr_off_t_toa, apr_table_get), support: 3, confidence: 75.00%
bug: apr_off_t_toa in ap_set_content_length, pair: (apr_off_t_toa, log_error_core), support: 3, confidence: 75.00%
bug: apr_off_t_toa in ap_set_content_length, pair: (apr_brigade_cleanup, apr_off_t_toa), support: 3, confidence: 75.00%
bug: apr_off_t_toa in ap_set_content_length, pair: (ap_pass_brigade, apr_off_t_toa), support: 3, confidence: 75.00%
bug: apr_off_t_toa in ap_set_content_length, pair: (apr_brigade_create, apr_off_t_toa), support: 3, confidence: 75.00%
bug: apr_off_t_toa in ap_set_content_length, pair: (ap_escape_html2, apr_off_t_toa), support: 3, confidence: 75.00%
bug: apr_off_t_toa in ap_set_content_length, pair: (apr_off_t_toa, apr_pvsprintf), support: 3, confidence: 75.00%
bug: ap_dir_nofnmatch in ap_dir_nofnmatch, pair: (ap_dir_fnmatch, ap_dir_nofnmatch), support: 3, confidence: 75.00%
bug: realloc in ap_expr_yyrealloc, pair: (malloc, realloc), support: 7, confidence: 77.78%
bug: realloc in ap_realloc, pair: (malloc, realloc), support: 7, confidence: 77.78%
bug: fprintf in yy_fatal_error, pair: (fprintf, malloc), support: 6, confidence: 66.67%
bug: fprintf in main, pair: (fprintf, malloc), support: 6, confidence: 66.67%
bug: fprintf in ap_expr_yyset_lineno, pair: (fprintf, malloc), support: 6, confidence: 66.67%
bug: ap_calloc in make_child, pair: (ap_calloc, apr_dynamic_fn_retrieve), support: 3, confidence: 75.00%
bug: apr_sockaddr_equal in ap_update_vhost_given_ip, pair: (apr_sockaddr_equal, apr_sockaddr_info_get), support: 8, confidence: 66.67%
bug: apr_sockaddr_equal in ap_process_connection, pair: (apr_sockaddr_equal, apr_sockaddr_info_get), support: 8, confidence: 66.67%
bug: apr_sockaddr_equal in ap_setup_listeners, pair: (apr_sockaddr_equal, apr_sockaddr_info_get), support: 8, confidence: 66.67%
bug: apr_sockaddr_equal in process_socket, pair: (apr_sockaddr_equal, apr_sockaddr_info_get), support: 8, confidence: 66.67%
bug: apr_tokenize_to_argv in open_error_log, pair: (apr_file_close, apr_tokenize_to_argv), support: 4, confidence: 80.00%
bug: apr_procattr_create in ap_get_exec_line, pair: (apr_procattr_create, apr_tokenize_to_argv), support: 5, confidence: 83.33%
bug: apr_tokenize_to_argv in ap_open_piped_log_ex, pair: (apr_tokenize_to_argv, log_error_core), support: 4, confidence: 80.00%
bug: apr_procattr_cmdtype_set in ap_get_exec_line, pair: (apr_procattr_cmdtype_set, apr_tokenize_to_argv), support: 5, confidence: 71.43%
bug: apr_procattr_cmdtype_set in ap_os_create_privileged_process, pair: (apr_procattr_cmdtype_set, apr_tokenize_to_argv), support: 5, confidence: 71.43%
bug: apr_procattr_dir_set in ap_get_exec_line, pair: (apr_procattr_dir_set, apr_tokenize_to_argv), support: 5, confidence: 83.33%
bug: ap_is_url in ap_add_common_vars, pair: (ap_is_url, ap_run_quick_handler), support: 6, confidence: 75.00%
bug: ap_is_url in ap_send_error_response, pair: (ap_is_url, ap_run_quick_handler), support: 6, confidence: 75.00%
bug: ap_is_url in ap_add_common_vars, pair: (ap_is_url, ap_response_code_string), support: 6, confidence: 75.00%
bug: ap_is_url in ap_send_error_response, pair: (ap_is_url, ap_response_code_string), support: 6, confidence: 75.00%
bug: ap_response_code_string in ap_read_request, pair: (ap_is_url, ap_response_code_string), support: 6, confidence: 85.71%
bug: ap_is_url in ap_add_common_vars, pair: (ap_index_of_response, ap_is_url), support: 6, confidence: 75.00%
bug: ap_is_url in ap_send_error_response, pair: (ap_index_of_response, ap_is_url), support: 6, confidence: 75.00%
bug: ap_index_of_response in set_error_document, pair: (ap_index_of_response, ap_is_url), support: 6, confidence: 75.00%
bug: ap_index_of_response in ap_custom_response, pair: (ap_index_of_response, ap_is_url), support: 6, confidence: 75.00%
bug: ap_run_create_request in ap_process_http_connection, pair: (ap_is_url, ap_run_create_request), support: 4, confidence: 66.67%
bug: ap_run_create_request in ap_read_request, pair: (ap_is_url, ap_run_create_request), support: 4, confidence: 66.67%
bug: ap_remove_output_filter in ap_http_header_filter, pair: (ap_is_url, ap_remove_output_filter), support: 4, confidence: 66.67%
bug: ap_remove_output_filter in ap_internal_fast_redirect, pair: (ap_is_url, ap_remove_output_filter), support: 4, confidence: 66.67%
bug: ap_is_url in ap_add_common_vars, pair: (ap_invoke_handler, ap_is_url), support: 6, confidence: 75.00%
bug: ap_is_url in ap_send_error_response, pair: (ap_invoke_handler, ap_is_url), support: 6, confidence: 75.00%
bug: ap_invoke_handler in ap_process_http_connection, pair: (ap_invoke_handler, ap_is_url), support: 6, confidence: 75.00%
bug: ap_invoke_handler in ap_process_request, pair: (ap_invoke_handler, ap_is_url), support: 6, confidence: 75.00%
bug: ap_is_url in ap_add_common_vars, pair: (ap_finalize_request_protocol, ap_is_url), support: 6, confidence: 75.00%
bug: ap_is_url in ap_send_error_response, pair: (ap_finalize_request_protocol, ap_is_url), support: 6, confidence: 75.00%
bug: ap_finalize_request_protocol in ap_read_request, pair: (ap_finalize_request_protocol, ap_is_url), support: 6, confidence: 85.71%
bug: ap_is_url in ap_add_common_vars, pair: (ap_is_url, ap_process_request_internal), support: 6, confidence: 75.00%
bug: ap_is_url in ap_send_error_response, pair: (ap_is_url, ap_process_request_internal), support: 6, confidence: 75.00%
bug: ap_run_insert_filter in ap_invoke_handler, pair: (ap_is_url, ap_run_insert_filter), support: 4, confidence: 66.67%
bug: ap_run_insert_filter in ap_run_sub_req, pair: (ap_is_url, ap_run_insert_filter), support: 4, confidence: 66.67%
bug: ap_is_url in ap_add_common_vars, pair: (ap_is_url, internal_internal_redirect), support: 6, confidence: 75.00%
bug: ap_is_url in ap_send_error_response, pair: (ap_is_url, internal_internal_redirect), support: 6, confidence: 75.00%
bug: ap_is_url in ap_add_common_vars, pair: (ap_is_url, ap_send_error_response), support: 6, confidence: 75.00%
bug: ap_is_url in ap_send_error_response, pair: (ap_is_url, ap_send_error_response), support: 6, confidence: 75.00%
bug: ap_send_error_response in ap_process_http_connection, pair: (ap_is_url, ap_send_error_response), support: 6, confidence: 85.71%
bug: ap_is_url in ap_process_async_request, pair: (ap_is_url, apr_pstrcat), support: 6, confidence: 75.00%
bug: ap_is_url in ap_die, pair: (ap_is_url, apr_pstrcat), support: 6, confidence: 75.00%
bug: apr_os_thread_current in worker_thread, pair: (ap_recent_ctime_ex, apr_os_thread_current), support: 6, confidence: 66.67%
bug: apr_os_thread_current in log_error_core, pair: (ap_recent_ctime_ex, apr_os_thread_current), support: 6, confidence: 66.67%
bug: apr_os_thread_current in log_tid, pair: (ap_recent_ctime_ex, apr_os_thread_current), support: 6, confidence: 66.67%
bug: apr_vsnprintf in log_error_core, pair: (ap_recent_ctime_ex, apr_vsnprintf), support: 6, confidence: 85.71%
bug: ap_find_module_short_name in log_error_core, pair: (ap_find_module_short_name, ap_recent_ctime_ex), support: 6, confidence: 75.00%
bug: ap_find_module_short_name in log_module_name, pair: (ap_find_module_short_name, ap_recent_ctime_ex), support: 6, confidence: 75.00%
bug: syslog in log_error_core, pair: (ap_recent_ctime_ex, syslog), support: 6, confidence: 85.71%
bug: apr_file_puts in log_error_core, pair: (ap_recent_ctime_ex, apr_file_puts), support: 6, confidence: 85.71%
bug: apr_socket_timeout_set in ap_lingering_close, pair: (apr_socket_timeout_set, log_error_core), support: 11, confidence: 68.75%
bug: apr_socket_timeout_set in ap_process_http_connection, pair: (apr_socket_timeout_set, log_error_core), support: 11, confidence: 68.75%
bug: apr_socket_timeout_set in signal_threads, pair: (apr_socket_timeout_set, log_error_core), support: 11, confidence: 68.75%
bug: apr_socket_timeout_set in writev_nonblocking, pair: (apr_socket_timeout_set, log_error_core), support: 11, confidence: 68.75%
bug: apr_socket_timeout_set in ap_mpm_pod_killpg, pair: (apr_socket_timeout_set, log_error_core), support: 11, confidence: 68.75%
bug: ap_get_conn_socket in ap_start_lingering_close, pair: (ap_get_conn_socket, apr_socket_timeout_set), support: 6, confidence: 75.00%
bug: ap_get_conn_socket in listener_thread, pair: (ap_get_conn_socket, apr_socket_timeout_set), support: 6, confidence: 75.00%
bug: apr_filepath_root in ap_os_is_path_absolute, pair: (apr_filepath_merge, apr_filepath_root), support: 4, confidence: 80.00%
bug: apr_atomic_dec32 in decrement_connection_count, pair: (apr_atomic_casptr, apr_atomic_dec32), support: 6, confidence: 85.71%
